x_acceleration,y_acceleration,z_acceleration,activity
2.4278111,0.34505486,9.425753,Walking
-0.030007403,0.09306586,10.244657,Standing
2.6298347,2.5982234,9.376513,Jogging
-2.36553,0.45220318,15.276647,Upstairs
-0.035137847,-2.3922453,9.98524,Upstairs
-0.59436244,-0.6012088,12.09459,Jogging
2.0632665,2.0568554,10.980135,Walking
-4.943656,-5.5853453,13.245649,Jogging
-0.3719492,-4.569444,15.687089,Jogging
-2.6776536,-4.4015837,12.952205,Upstairs
0.9601125,-4.3562617,10.032208,Jogging
1.6107911,-0.509903,6.5462947,Downstairs
-1.8005371,-4.363806,10.800421,Jogging
1.7139616,2.986676,9.309843,Jogging
-2.2062566,-3.043453,9.754881,Walking
-1.9294198,2.2352219,13.14504,Upstairs
-5.669416,-2.2195556,12.1192045,Jogging
-2.4279575,1.3134781,8.708547,Jogging
-1.7343278,0.28128138,9.304588,Walking
-2.603349,-6.951758,8.271584,Jogging
-5.630155,-2.0871522,13.813485,Jogging
-0.27437446,0.10464817,10.969404,Sitting
-3.5093098,-7.9284844,11.446123,Jogging
-0.7316971,-0.84191537,10.306736,Walking
-8.57105,0.5668236,7.0073295,Jogging
3.0174932,0.5253743,10.102207,Walking
-0.63969314,-0.3662967,10.250859,Sitting
6.2751923,1.4293326,8.748179,Jogging
-0.49970227,0.3946573,10.070055,Sitting
-2.2445796,-1.8570579,10.205533,Walking
5.4186454,-1.9763718,14.923564,Upstairs
0.5519794,-1.351336,10.2060375,Walking
-1.9331262,-2.1701202,9.850481,Walking
0.18305682,0.8587383,10.68253,Walking
-1.0422565,-0.13763005,9.90909,Walking
-3.5039237,-3.0393498,4.484936,Downstairs
-0.13837825,-7.854797,8.251035,Jogging
-1.8892128,2.4353924,4.2949634,Jogging
0.6362929,-3.2164915,7.8088465,Downstairs
2.9628632,-3.8440177,11.180221,Walking
-2.7669756,0.14597219,9.787756,Upstairs
-0.92551553,0.23472981,9.141841,Walking
3.541022,-1.4922167,7.6594615,Jogging
0.36932975,-0.16961919,10.033776,Sitting
-6.9913425,-4.5875545,8.992161,Jogging
4.298185,3.0484388,9.062096,Jogging
0.28564534,0.91193706,10.828952,Walking
-0.1049331,-0.23591022,9.849439,Standing
4.623219,-11.774552,10.458254,Jogging
2.5611668,3.9909723,8.514288,Upstairs
3.2124705,3.2485151,13.360337,Upstairs
-6.2352366,3.21701,9.004569,Jogging
2.270754,-5.8013806,11.302337,Upstairs
0.2895193,1.3563023,9.910755,Walking
-5.133642,-1.1549755,7.504458,Jogging
1.7485671,0.075238265,8.530221,Walking
-1.6538525,-3.3249257,10.755434,Walking
-0.27162054,-1.0645157,10.172392,Jogging
3.3018723,5.311633,17.256186,Jogging
1.7649583,-0.16766304,11.640336,Jogging
9.16124,0.8636005,11.733825,Jogging
-0.83779347,2.5142665,11.014335,Upstairs
-2.5996778,-0.06509019,11.841303,Walking
0.20740832,1.0174627,10.782964,Walking
5.294812,1.837695,8.090594,Jogging
1.0882362,2.9777162,12.459782,Upstairs
0.37065592,-0.5548143,9.917688,Standing
1.8613869,-4.507515,9.254453,Walking
5.306225,-4.7461205,10.73749,Jogging
-4.5741796,-5.645214,8.053931,Jogging
0.5427348,0.31042042,10.460868,Standing
-0.5546664,-4.4761057,10.465315,Walking
0.7203911,0.50169593,9.904409,Upstairs
-2.801318,1.1080323,9.903391,Walking
-1.6570592,-6.173128,10.7283,Downstairs
-5.371373,1.1820508,10.092805,Jogging
-1.0494572,0.3909566,8.352333,Walking
3.2757883,0.15757245,11.190849,Walking
1.6304709,0.79389906,6.7473536,Jogging
4.0408716,-2.7751968,8.50001,Jogging
9.296873,2.6692586,11.95821,Jogging
2.0284784,-3.313456,7.469099,Jogging
-1.8448524,2.1853225,10.343301,Walking
-3.8125913,-2.217808,12.517769,Upstairs
0.05227464,-0.9913607,9.924288,Walking
4.3586073,5.2192483,11.4142275,Upstairs
-0.6902563,0.28405464,9.954922,Sitting
-0.9114487,1.4593872,11.068883,Walking
-2.0815856,-10.123328,13.810609,Jogging
-1.4605687,-2.2423286,9.819977,Jogging
2.2630465,1.4860708,9.094021,Walking
-2.7069845,2.158184,11.535334,Walking
-6.5463996,0.2576617,10.945892,Jogging
1.7785116,1.6473713,9.149703,Jogging
-0.25142208,-3.3495193,9.869135,Downstairs
1.1851273,-4.1114573,9.308441,Walking
-0.9280685,1.6436626,11.159091,Walking
0.4427902,-1.682774,11.045141,Walking
-2.1055033,-5.606721,8.692797,Jogging
1.3599727,2.4303143,8.088057,Downstairs
4.145328,0.21299678,7.5153785,Downstairs
-0.19308406,1.7935638,11.031037,Walking
-1.8844151,0.41055736,12.568463,Jogging
9.022044,2.5922773,12.472637,Jogging
-4.115281,-2.4037857,8.374218,Upstairs
0.19784708,0.86556023,9.857627,Sitting
-5.078748,3.3898497,9.847269,Jogging
-0.94739234,5.8295608,11.016689,Upstairs
2.6862013,-6.2823343,6.4833674,Downstairs
-0.6211567,-0.5081585,10.110506,Walking
-0.15462129,0.28892758,9.404086,Sitting
0.4821718,-7.325934,8.0583315,Jogging
-2.1676142,-0.94285536,7.884362,Jogging
0.6993426,1.9500593,11.324622,Jogging
-1.5990261,0.9076922,11.131771,Walking
2.3703182,0.9719693,10.954676,Walking
1.9667817,-5.565609,9.344527,Jogging
-1.4408672,-0.89306056,11.56031,Walking
4.0766487,-0.8402195,12.882109,Upstairs
-4.136294,3.1787333,9.316203,Jogging
-0.6519861,3.2930672,10.444742,Walking
-0.58895206,4.58376,10.829955,Walking
-0.56914026,-3.943766,10.785335,Walking
2.2625628,-2.501547,10.783301,Walking
-1.0859092,0.94091135,10.854715,Walking
5.066762,1.1867483,5.5955186,Jogging
-0.70473903,2.0510232,11.41648,Upstairs
-3.910914,-0.48060262,12.408912,Upstairs
-0.34954146,-0.32120743,11.67888,Walking
0.010983929,-0.27718705,10.303818,Sitting
0.42790633,0.05643925,11.126457,Walking
2.307629,1.2675425,10.506049,Upstairs
-4.871781,-4.9138994,12.412954,Jogging
0.67361534,-0.38130614,10.453575,Standing
-1.6969646,1.5372889,9.191512,Jogging
1.7204671,0.48834947,11.246715,Walking
0.1509723,0.340586,8.756949,Walking
1.770597,0.5076143,9.677815,Jogging
-0.45504174,3.1326852,10.235385,Downstairs
-4.318418,0.007955847,10.25961,Downstairs
0.738085,-0.12037001,8.334986,Downstairs
-0.35843375,-0.0628009,9.297317,Sitting
-2.6341588,-4.2028327,11.37598,Jogging
-0.925528,0.25540102,9.385029,Downstairs
6.390524,1.0503044,13.984866,Jogging
-4.224402,4.137579,6.1809416,Jogging
0.35170284,0.004779177,9.352175,Walking
1.282077,3.7408235,8.48441,Walking
1.2707775,5.8242693,10.791828,Jogging
0.3398599,0.006192196,9.524349,Jogging
1.2756338,2.121642,10.651841,Walking
0.6084861,1.3049318,9.155343,Walking
2.213658,2.5380096,8.950667,Downstairs
-2.488416,0.44728044,9.433657,Walking
-5.16338,2.4789286,10.52174,Upstairs
1.260292,2.484607,10.610033,Walking
0.5840589,-0.17891896,9.938806,Walking
-2.3771694,-0.34230286,9.472891,Walking
0.6045718,-1.4449488,10.276934,Jogging
-1.4375877,4.843739,9.156391,Jogging
5.695808,-4.130653,8.865363,Jogging
1.9471161,-3.2525482,9.438038,Walking
2.2208936,-2.7313657,9.528089,Downstairs
1.3420559,-5.099716,9.96022,Jogging
1.5534868,2.590663,11.21981,Jogging
-4.3294806,0.6280909,11.094568,Walking
5.451672,2.2643805,10.404553,Jogging
-0.5334487,0.30134603,10.341412,Sitting
-3.1727014,2.2322261,10.123271,Walking
-0.023545766,-1.2138929,9.889372,Walking
-0.80667156,0.20667082,12.919943,Upstairs
-2.0637708,3.684335,7.2839828,Jogging
0.45669532,0.17673723,9.830145,Sitting
0.21378365,-2.4316409,9.8237915,Walking
3.1886213,10.378369,7.4694395,Upstairs
-4.967273,0.7815019,13.565897,Jogging
-4.1261377,1.4721727,7.8178816,Downstairs
-1.411727,1.257417,10.057624,Walking
-0.6373763,0.84760934,10.281437,Sitting
-0.53368133,-0.48653507,13.044394,Jogging
0.545864,0.38840353,9.123598,Sitting
-1.0341606,-0.32792178,11.270362,Walking
5.108829,3.4327123,11.571564,Jogging
-2.411037,1.8562512,9.726565,Walking
-5.8911796,-7.068438,11.438516,Jogging
11.896318,-1.9844276,7.373514,Jogging
2.2051096,2.9304917,10.720018,Walking
1.0234144,0.3526607,12.544711,Jogging
-7.0317984,-1.0907027,7.252105,Jogging
-5.873196,6.7692504,12.153962,Jogging
1.9191755,-2.9284093,9.681797,Walking
-4.338562,4.0491967,8.884957,Walking
-5.130038,1.4250919,15.05984,Upstairs
-2.4663737,2.2505515,11.147312,Jogging
-0.7989797,1.8160925,10.34412,Walking
-0.16241129,-0.25975272,9.832458,Sitting
-1.3208609,-4.419028,10.585932,Jogging
0.7579314,-1.0075654,11.792131,Walking
2.1954916,-4.4113336,11.407309,Upstairs
4.2572355,-2.5154064,11.10356,Jogging
-0.11995282,0.2869225,9.70528,Standing
-8.211631,1.3894274,7.6334915,Jogging
3.6554682,1.6676693,9.643207,Walking
-2.3343139,2.6653972,7.1807256,Downstairs
-8.732142,-9.567352,10.86844,Jogging
0.57042056,-2.0471594,9.032973,Jogging
2.6940153,0.18803315,9.803545,Walking
-2.0977654,-0.21806426,8.694982,Walking
1.8677344,-1.7952933,10.168728,Walking
0.8698837,-2.0813658,11.456871,Upstairs
0.18903889,0.9817899,10.250866,Sitting
8.045711,1.2637638,10.867935,Jogging
0.22468615,2.574413,11.062053,Jogging
-2.57934,-6.2314186,10.157954,Jogging
0.5061529,-0.31524768,10.171904,Standing
3.089324,2.6486752,9.694103,Jogging
1.4926387,0.6093374,11.989488,Jogging
2.8023703,5.56027,10.818438,Jogging
3.1291804,-0.6247843,11.463899,Upstairs
-5.725939,2.7063653,8.490238,Jogging
0.088761985,0.058079936,10.123564,Standing
-1.0631881,-3.9720044,11.004355,Jogging
